Name,Rating,Genres,Platforms,ESRB,Rating_scaled,ESRB_cat,Genres_list,Platforms_list,db_id
Psychonauts,4.04,"Action, Platformer","Playstation 3, Xbox One, Ios, Pc, Macos, Linux, Xbox 360, Playstation 2, Playstation 4, Xbox",Teen,0.6416477045688606,5,"['action', 'platformer']","['playstation 3', 'xbox one', 'ios', 'pc', 'macos', 'linux', 'xbox 360', 'playstation 2', 'playstation 4', 'xbox']",2145
Shadow Of The Tomb Raider,3.91,"Action, Adventure","Xbox One, Pc, Playstation 4, Macos, Linux",Mature,0.4460921973740375,3,"['action', 'adventure']","['xbox one', 'pc', 'playstation 4', 'macos', 'linux']",2146
Metro Exodus,4.17,"Action, Shooter","Pc, Playstation 5, Xbox One, Playstation 4",Mature,0.8372032117636835,3,"['action', 'shooter']","['pc', 'playstation 5', 'xbox one', 'playstation 4']",2147
Heavy Rain,4.12,"Action, Adventure","Pc, Playstation 4, Playstation 3",Mature,0.7619895551502903,3,"['action', 'adventure']","['pc', 'playstation 4', 'playstation 3']",2148
Inside,4.39,"Action, Adventure, Indie, Puzzle, Platformer","Nintendo Switch, Pc, Ios, Macos, Xbox One, Playstation 4",Teen,1.1681433008626148,5,"['action', 'adventure', 'indie', 'puzzle', 'platformer']","['nintendo switch', 'pc', 'ios', 'macos', 'xbox one', 'playstation 4']",2149
Sekiro: Shadows Die Twice,4.38,"Action, Rpg","Xbox One, Pc, Playstation 4",Mature,1.1531005695399363,3,"['action', 'rpg']","['xbox one', 'pc', 'playstation 4']",2150
Max Payne 3,4.26,"Action, Shooter","Playstation 3, Pc, Xbox 360, Macos",Mature,0.9725877936677916,3,"['action', 'shooter']","['playstation 3', 'pc', 'xbox 360', 'macos']",2151
Saints Row Iv,3.82,"Action, Adventure","Playstation 3, Pc, Xbox One, Playstation 4, Xbox 360, Linux",Mature,0.3107076154699287,3,"['action', 'adventure']","['playstation 3', 'pc', 'xbox one', 'playstation 4', 'xbox 360', 'linux']",2152
Tom Clancy'S Rainbow Six Siege,3.89,"Action, Shooter","Xbox One, Pc, Playstation 4, Xbox Series S/X, Playstation 5",Teen,0.41600673472868,5,"['action', 'shooter']","['xbox one', 'pc', 'playstation 4', 'xbox series s/x', 'playstation 5']",2153
Firewatch,4.3,"Adventure, Indie","Macos, Linux, Nintendo Switch, Playstation 4, Xbox One, Pc",Mature,1.0327587189585066,3,"['adventure', 'indie']","['macos', 'linux', 'nintendo switch', 'playstation 4', 'xbox one', 'pc']",2154
No Man'S Sky,3.7,"Action, Adventure, Rpg, Simulation, Massively Multiplayer, Indie","Nintendo Switch, Xbox One, Pc, Playstation 4, Playstation 5",Teen,0.1301948395977847,5,"['action', 'adventure', 'rpg', 'simulation', 'massively multiplayer', 'indie']","['nintendo switch', 'xbox one', 'pc', 'playstation 4', 'playstation 5']",2155
Assassin'S Creed Odyssey,3.98,"Action, Rpg","Playstation 4, Pc, Xbox One, Nintendo Switch",Mature,0.5513913166327882,3,"['action', 'rpg']","['playstation 4', 'pc', 'xbox one', 'nintendo switch']",2156
The Darkness Ii,3.7,Action,"Playstation 3, Macos, Pc, Xbox 360, Xbox One",Mature,0.1301948395977847,3,['action'],"['playstation 3', 'macos', 'pc', 'xbox 360', 'xbox one']",2157
War Thunder,3.19,"Action, Shooter, Massively Multiplayer","Xbox One, Pc, Macos, Linux, Playstation 4",Teen,-0.6369844578588296,5,"['action', 'shooter', 'massively multiplayer']","['xbox one', 'pc', 'macos', 'linux', 'playstation 4']",2158
Hitman 2,4.04,"Action, Shooter","Xbox One, Pc, Playstation 4",Mature,0.6416477045688606,3,"['action', 'shooter']","['xbox one', 'pc', 'playstation 4']",2159
Darksiders,3.76,Action,"Playstation 3, Xbox One, Xbox 360, Nintendo Switch, Pc",Mature,0.2204512275338563,3,['action'],"['playstation 3', 'xbox one', 'xbox 360', 'nintendo switch', 'pc']",2160
Assassin'S Creed Ii,4.42,Action,"Xbox 360, Playstation 3, Xbox One, Pc, Macos, Playstation 4",Mature,1.213271494830651,3,['action'],"['xbox 360', 'playstation 3', 'xbox one', 'pc', 'macos', 'playstation 4']",2161
Disco Elysium,4.39,"Adventure, Rpg, Indie","Pc, Macos, Xbox One, Nintendo Switch, Playstation 4, Xbox Series S/X, Playstation 5",Mature,1.1681433008626148,3,"['adventure', 'rpg', 'indie']","['pc', 'macos', 'xbox one', 'nintendo switch', 'playstation 4', 'xbox series s/x', 'playstation 5']",2162
Elden Ring,4.4,"Action, Rpg","Pc, Xbox One, Playstation 4, Xbox Series S/X, Playstation 5",Mature,1.1831860321852945,3,"['action', 'rpg']","['pc', 'xbox one', 'playstation 4', 'xbox series s/x', 'playstation 5']",2163
Doom Eternal,4.38,"Action, Shooter","Pc, Playstation 4, Xbox One, Nintendo Switch, Playstation 5",Mature,1.1531005695399363,3,"['action', 'shooter']","['pc', 'playstation 4', 'xbox one', 'nintendo switch', 'playstation 5']",2164
Assassin'S Creed Origins,3.97,"Action, Rpg","Xbox One, Pc, Playstation 4",Mature,0.5363485853101099,3,"['action', 'rpg']","['xbox one', 'pc', 'playstation 4']",2165
Halo Infinite,3.65,"Action, Shooter, Adventure","Xbox One, Pc, Xbox Series S/X",Teen,0.0549811829843907,5,"['action', 'shooter', 'adventure']","['xbox one', 'pc', 'xbox series s/x']",2166
Transistor,4.17,"Action, Rpg, Indie","Nintendo Switch, Playstation 4, Pc, Ios, Macos, Linux",Teen,0.8372032117636835,5,"['action', 'rpg', 'indie']","['nintendo switch', 'playstation 4', 'pc', 'ios', 'macos', 'linux']",2167
Layers Of Fear,3.54,"Adventure, Indie","Playstation 4, Linux, Macos, Pc, Ios, Xbox One",Mature,-0.1104888615650747,3,"['adventure', 'indie']","['playstation 4', 'linux', 'macos', 'pc', 'ios', 'xbox one']",2168
Deus Ex: Human Revolution - Director'S Cut,4.3,"Action, Rpg","Wii U, Pc, Macos, Xbox 360, Playstation 3",Mature,1.0327587189585066,3,"['action', 'rpg']","['wii u', 'pc', 'macos', 'xbox 360', 'playstation 3']",2169
Grid 2,3.29,"Racing, Arcade","Playstation 3, Xbox 360, Macos, Pc",Everyone 10+,-0.4865571446320424,2,"['racing', 'arcade']","['playstation 3', 'xbox 360', 'macos', 'pc']",2170
Resident Evil 5,3.82,"Action, Shooter","Xbox One, Xbox 360, Pc, Nintendo Switch, Playstation 3, Playstation 4",Mature,0.3107076154699287,3,"['action', 'shooter']","['xbox one', 'xbox 360', 'pc', 'nintendo switch', 'playstation 3', 'playstation 4']",2171
Far Cry 4,3.81,Shooter,"Playstation 4, Playstation 3, Pc, Xbox One, Xbox 360",Mature,0.2956648841472503,3,['shooter'],"['playstation 4', 'playstation 3', 'pc', 'xbox one', 'xbox 360']",2172
Xcom 2,4.1,"Rpg, Strategy","Nintendo Switch, Macos, Pc, Playstation 4, Linux",Teen,0.7319040925049322,5,"['rpg', 'strategy']","['nintendo switch', 'macos', 'pc', 'playstation 4', 'linux']",2173
Ori And The Blind Forest: Definitive Edition,4.42,"Adventure, Platformer","Xbox One, Pc, Nintendo Switch, Xbox 360",Everyone,1.213271494830651,1,"['adventure', 'platformer']","['xbox one', 'pc', 'nintendo switch', 'xbox 360']",2174
Black Desert Online,2.91,"Action, Adventure, Rpg, Strategy, Simulation, Massively Multiplayer","Xbox One, Pc, Playstation 4",Teen,-1.0581809348938331,5,"['action', 'adventure', 'rpg', 'strategy', 'simulation', 'massively multiplayer']","['xbox one', 'pc', 'playstation 4']",2175
Call Of Duty: Modern Warfare 2,4.27,Shooter,"Pc, Xbox One, Playstation 3, Macos, Xbox 360",Mature,0.98763052499047,3,['shooter'],"['pc', 'xbox one', 'playstation 3', 'macos', 'xbox 360']",2176
Saints Row 2,3.57,"Action, Shooter","Playstation 3, Xbox 360, Pc, Linux, Xbox One",Mature,-0.0653606675970389,3,"['action', 'shooter']","['playstation 3', 'xbox 360', 'pc', 'linux', 'xbox one']",2177
Viscera Cleanup Detail: Shadow Warrior,2.59,"Action, Simulation, Indie","Macos, Pc",Mature,-1.5395483372195522,3,"['action', 'simulation', 'indie']","['macos', 'pc']",2178
Ori And The Blind Forest,4.38,"Adventure, Platformer","Xbox 360, Xbox One, Pc",Everyone,1.1531005695399363,1,"['adventure', 'platformer']","['xbox 360', 'xbox one', 'pc']",2179
Sid Meier’S Civilization Vi,4.16,"Strategy, Simulation","Ios, Pc, Macos, Playstation 4, Xbox One, Nintendo Switch, Linux",Everyone 10+,0.8221604804410052,2,"['strategy', 'simulation']","['ios', 'pc', 'macos', 'playstation 4', 'xbox one', 'nintendo switch', 'linux']",2592
Soma,4.16,"Action, Adventure, Indie","Playstation 4, Xbox One, Pc, Macos, Linux",Mature,0.8221604804410052,3,"['action', 'adventure', 'indie']","['playstation 4', 'xbox one', 'pc', 'macos', 'linux']",2181
