Name,Rating,Genres,Platforms,ESRB,Genres_list,Platforms_list,Cluster
Portal,4.49,"Action, Puzzle","macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch",Teen,"['Action', 'Puzzle']","['macOS', 'PC', 'Android', 'PlayStation 3', 'Xbox 360', 'Linux', 'Nintendo Switch']",0
Half-Life 2,4.48,"Action, Shooter","PC, macOS, Xbox 360, Linux, Xbox, Android",Mature,"['Action', 'Shooter']","['PC', 'macOS', 'Xbox 360', 'Linux', 'Xbox', 'Android']",1
Borderlands 2,4.01,"Action, Shooter, RPG","PlayStation 3, macOS, PC, Android, Linux, PS Vita, Xbox 360",Mature,"['Action', 'Shooter', 'RPG']","['PlayStation 3', 'macOS', 'PC', 'Android', 'Linux', 'PS Vita', 'Xbox 360']",1
Life is Strange,4.12,Adventure,"iOS, PC, Linux, PlayStation 3, macOS, Xbox 360, Android, PlayStation 4, Xbox One",Mature,['Adventure'],"['iOS', 'PC', 'Linux', 'PlayStation 3', 'macOS', 'Xbox 360', 'Android', 'PlayStation 4', 'Xbox One']",1
Limbo,4.14,"Action, Adventure, Indie, Puzzle, Platformer","PC, Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Linux, macOS, iOS, Xbox One, Nintendo Switch",Teen,"['Action', 'Adventure', 'Indie', 'Puzzle', 'Platformer']","['PC', 'Android', 'PS Vita', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Linux', 'macOS', 'iOS', 'Xbox One', 'Nintendo Switch']",0
Terraria,4.07,"Action, Indie, Platformer","Xbox 360, Wii U, Nintendo 3DS, Xbox One, PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, PlayStation 3, PS Vita, Android",Teen,"['Action', 'Indie', 'Platformer']","['Xbox 360', 'Wii U', 'Nintendo 3DS', 'Xbox One', 'PlayStation 4', 'iOS', 'PC', 'macOS', 'Linux', 'Nintendo Switch', 'PlayStation 3', 'PS Vita', 'Android']",0
Grand Theft Auto: San Andreas,4.51,Action,"macOS, PC, iOS, Xbox, Android, PlayStation 4, PlayStation 3, PlayStation 2, Xbox 360, Xbox One",Mature,['Action'],"['macOS', 'PC', 'iOS', 'Xbox', 'Android', 'PlayStation 4', 'PlayStation 3', 'PlayStation 2', 'Xbox 360', 'Xbox One']",1
The Walking Dead: Season 1,4.36,"Action, Adventure","Android, PS Vita, macOS, PC, iOS, PlayStation 4, PlayStation 3, Xbox 360, Nintendo Switch, Xbox One",Mature,"['Action', 'Adventure']","['Android', 'PS Vita', 'macOS', 'PC', 'iOS', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Nintendo Switch', 'Xbox One']",1
Half-Life 2: Episode One,4.38,"Action, Shooter","Linux, PC, Xbox 360, Android, macOS",Mature,"['Action', 'Shooter']","['Linux', 'PC', 'Xbox 360', 'Android', 'macOS']",1
Half-Life 2: Episode Two,4.45,"Action, Shooter, Puzzle","Android, Linux, macOS, PC, Xbox 360",Mature,"['Action', 'Shooter', 'Puzzle']","['Android', 'Linux', 'macOS', 'PC', 'Xbox 360']",1
Stardew Valley,4.4,"RPG, Simulation, Indie","Nintendo Switch, Xbox One, PC, iOS, macOS, Linux, PlayStation 4, PS Vita, Android",Everyone 10+,"['RPG', 'Simulation', 'Indie']","['Nintendo Switch', 'Xbox One', 'PC', 'iOS', 'macOS', 'Linux', 'PlayStation 4', 'PS Vita', 'Android']",2
Grand Theft Auto: Vice City,4.44,Action,"Android, macOS, PC, iOS, PlayStation 4, PS Vita, PlayStation 2, Xbox",Mature,['Action'],"['Android', 'macOS', 'PC', 'iOS', 'PlayStation 4', 'PS Vita', 'PlayStation 2', 'Xbox']",1
ARK: Survival Of The Fittest,2.59,"Action, RPG, Strategy, Massively Multiplayer, Indie","Android, Linux, macOS, PC, iOS",Teen,"['Action', 'RPG', 'Strategy', 'Massively Multiplayer', 'Indie']","['Android', 'Linux', 'macOS', 'PC', 'iOS']",0
Minecraft,4.43,"Action, Simulation, Arcade, Massively Multiplayer, Indie","Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Nintendo 3DS, Nintendo Switch, macOS, PC, iOS, Wii U, Xbox One, Linux",Everyone 10+,"['Action', 'Simulation', 'Arcade', 'Massively Multiplayer', 'Indie']","['Android', 'PS Vita', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Nintendo 3DS', 'Nintendo Switch', 'macOS', 'PC', 'iOS', 'Wii U', 'Xbox One', 'Linux']",2
Middle-earth: Shadow of War,3.85,"Action, RPG","PC, Xbox One, PlayStation 4, Android",Mature,"['Action', 'RPG']","['PC', 'Xbox One', 'PlayStation 4', 'Android']",1
Brothers: A Tale of Two Sons,4.18,"Action, Adventure, Indie","PlayStation 3, Xbox One, iOS, Nintendo Switch, Xbox 360, PlayStation 4, Android, PC",Teen,"['Action', 'Adventure', 'Indie']","['PlayStation 3', 'Xbox One', 'iOS', 'Nintendo Switch', 'Xbox 360', 'PlayStation 4', 'Android', 'PC']",0
Brawlhalla,3.22,"Action, Casual, Fighting, Indie","Xbox One, Android, iOS, PC, macOS, Nintendo Switch, PlayStation 4",Everyone 10+,"['Action', 'Casual', 'Fighting', 'Indie']","['Xbox One', 'Android', 'iOS', 'PC', 'macOS', 'Nintendo Switch', 'PlayStation 4']",2
Alien: Isolation,4.2,"Action, Adventure","PC, Xbox One, Nintendo Switch, Android, iOS, PlayStation 4",Mature,"['Action', 'Adventure']","['PC', 'Xbox One', 'Nintendo Switch', 'Android', 'iOS', 'PlayStation 4']",1
Batman: Arkham Origins,3.95,Action,"PlayStation 3, PC, Android, Xbox 360",Teen,['Action'],"['PlayStation 3', 'PC', 'Android', 'Xbox 360']",0
Among Us,3.84,"Action, Simulation, Casual","Android, Nintendo Switch, PC, iOS, PlayStation 4, PlayStation 5, Xbox One",Everyone 10+,"['Action', 'Simulation', 'Casual']","['Android', 'Nintendo Switch', 'PC', 'iOS', 'PlayStation 4', 'PlayStation 5', 'Xbox One']",2
The Wolf Among Us,4.39,Adventure,"PS Vita, PlayStation 4, Xbox One, iOS, PC, Android, Xbox 360, macOS",Mature,['Adventure'],"['PS Vita', 'PlayStation 4', 'Xbox One', 'iOS', 'PC', 'Android', 'Xbox 360', 'macOS']",1
This War of Mine,4.07,"Adventure, Simulation, Indie","Android, PS Vita, Nintendo Switch, Linux, macOS, PC, iOS",Mature,"['Adventure', 'Simulation', 'Indie']","['Android', 'PS Vita', 'Nintendo Switch', 'Linux', 'macOS', 'PC', 'iOS']",1
Grand Theft Auto III,4.16,"Action, Shooter","macOS, PC, iOS, Android, PlayStation 4, PlayStation 2, Xbox",Mature,"['Action', 'Shooter']","['macOS', 'PC', 'iOS', 'Android', 'PlayStation 4', 'PlayStation 2', 'Xbox']",1
"Papers, Please",4.38,"Simulation, Educational, Indie, Puzzle","Linux, macOS, PC, iOS, Android, PS Vita",Mature,"['Simulation', 'Educational', 'Indie', 'Puzzle']","['Linux', 'macOS', 'PC', 'iOS', 'Android', 'PS Vita']",1
Fallout Shelter,3.43,"RPG, Simulation","PlayStation 4, Xbox One, PC, Nintendo Switch, Android, iOS",Teen,"['RPG', 'Simulation']","['PlayStation 4', 'Xbox One', 'PC', 'Nintendo Switch', 'Android', 'iOS']",0
Star Wars: Knights of the Old Republic,4.36,"Action, RPG","Xbox 360, Xbox, Nintendo Switch, Xbox One, Android, iOS, PC, macOS",Mature,"['Action', 'RPG']","['Xbox 360', 'Xbox', 'Nintendo Switch', 'Xbox One', 'Android', 'iOS', 'PC', 'macOS']",1
Resident Evil 4 (2005),4.4,"Action, Shooter","GameCube, Android, PC, iOS, PlayStation 4, PlayStation 2, Wii",Mature,"['Action', 'Shooter']","['GameCube', 'Android', 'PC', 'iOS', 'PlayStation 4', 'PlayStation 2', 'Wii']",1
Syberia,3.93,"Adventure, Puzzle","Nintendo DS, Nintendo Switch, macOS, PC, iOS, PlayStation 3, Xbox 360, Android",Teen,"['Adventure', 'Puzzle']","['Nintendo DS', 'Nintendo Switch', 'macOS', 'PC', 'iOS', 'PlayStation 3', 'Xbox 360', 'Android']",0
Grim Fandango Remastered,4.0,"Adventure, Puzzle","PC, PlayStation 4, PS Vita, Xbox One, Nintendo Switch, iOS, Linux, macOS, Android",Teen,"['Adventure', 'Puzzle']","['PC', 'PlayStation 4', 'PS Vita', 'Xbox One', 'Nintendo Switch', 'iOS', 'Linux', 'macOS', 'Android']",0
Hotline Miami 2: Wrong Number,4.29,"Action, Shooter, Arcade, Indie","Android, PS Vita, PlayStation 4, PlayStation 3, Linux, macOS, PC, Nintendo Switch, iOS",Mature,"['Action', 'Shooter', 'Arcade', 'Indie']","['Android', 'PS Vita', 'PlayStation 4', 'PlayStation 3', 'Linux', 'macOS', 'PC', 'Nintendo Switch', 'iOS']",1
The Walking Dead: Season 2,4.06,"Action, Adventure","macOS, PC, iOS, Android, PS Vita, PlayStation 3, Xbox 360, Nintendo Switch, PlayStation 4, Xbox One",Mature,"['Action', 'Adventure']","['macOS', 'PC', 'iOS', 'Android', 'PS Vita', 'PlayStation 3', 'Xbox 360', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']",1
Syberia 2,3.88,"Adventure, Puzzle","iOS, Xbox, Android, PlayStation 3, PlayStation 2, Xbox 360, Nintendo Switch, macOS, PC",Teen,"['Adventure', 'Puzzle']","['iOS', 'Xbox', 'Android', 'PlayStation 3', 'PlayStation 2', 'Xbox 360', 'Nintendo Switch', 'macOS', 'PC']",0
To the Moon,4.29,"Action, Adventure, RPG, Casual, Indie","PC, Nintendo Switch, Android, Linux, iOS, macOS",Everyone,"['Action', 'Adventure', 'RPG', 'Casual', 'Indie']","['PC', 'Nintendo Switch', 'Android', 'Linux', 'iOS', 'macOS']",0
Metal Gear Rising: Revengeance,4.25,Action,"PlayStation 3, Xbox 360, PC, Android, Xbox One",Mature,['Action'],"['PlayStation 3', 'Xbox 360', 'PC', 'Android', 'Xbox One']",1
LEGO The Lord of the Rings,3.55,"Action, Adventure","PC, iOS, Nintendo DS, PlayStation 3, Nintendo 3DS, Xbox 360, Wii, PS Vita, Android",Everyone 10+,"['Action', 'Adventure']","['PC', 'iOS', 'Nintendo DS', 'PlayStation 3', 'Nintendo 3DS', 'Xbox 360', 'Wii', 'PS Vita', 'Android']",2
Human: Fall Flat,3.82,"Action, Indie, Puzzle","Android, Linux, macOS, PC, iOS, PlayStation 4, Xbox One, Nintendo Switch",Everyone,"['Action', 'Indie', 'Puzzle']","['Android', 'Linux', 'macOS', 'PC', 'iOS', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",0
Star Wars: Knights of the Old Republic II - The Sith Lords,4.37,"Adventure, RPG","Xbox, Xbox 360, Linux, macOS, PC, Nintendo Switch, Android",Teen,"['Adventure', 'RPG']","['Xbox', 'Xbox 360', 'Linux', 'macOS', 'PC', 'Nintendo Switch', 'Android']",0
Beholder,3.81,"Adventure, RPG, Strategy, Indie","Nintendo Switch, iOS, Xbox One, PC, macOS, Linux, PlayStation 4, Android",Teen,"['Adventure', 'RPG', 'Strategy', 'Indie']","['Nintendo Switch', 'iOS', 'Xbox One', 'PC', 'macOS', 'Linux', 'PlayStation 4', 'Android']",0
Lords of the Fallen (2014),2.91,"Action, Adventure, RPG","Android, PlayStation 4, PC, iOS, Xbox One",Mature,"['Action', 'Adventure', 'RPG']","['Android', 'PlayStation 4', 'PC', 'iOS', 'Xbox One']",1
Fortnite Battle Royale,3.27,"Action, Shooter","PlayStation 4, Xbox One, iOS, PC, Android, Xbox Series S/X, PlayStation 5, Nintendo Switch",Teen,"['Action', 'Shooter']","['PlayStation 4', 'Xbox One', 'iOS', 'PC', 'Android', 'Xbox Series S/X', 'PlayStation 5', 'Nintendo Switch']",0
Jet Set Radio,3.41,"Action, Sports, Platformer","iOS, Xbox 360, Android, Game Boy Advance, Dreamcast, PlayStation 3, PS Vita, PC",Teen,"['Action', 'Sports', 'Platformer']","['iOS', 'Xbox 360', 'Android', 'Game Boy Advance', 'Dreamcast', 'PlayStation 3', 'PS Vita', 'PC']",0
Game of Thrones - A Telltale Games Series,3.23,"Action, Adventure","Xbox 360, PlayStation 3, Xbox One, PlayStation 4, Android, PC, macOS, iOS",Adults Only,"['Action', 'Adventure']","['Xbox 360', 'PlayStation 3', 'Xbox One', 'PlayStation 4', 'Android', 'PC', 'macOS', 'iOS']",0
Orwell: Keeping an Eye On You,3.27,"Adventure, Simulation, Indie, Puzzle","Android, iOS, PC, macOS, Linux",Teen,"['Adventure', 'Simulation', 'Indie', 'Puzzle']","['Android', 'iOS', 'PC', 'macOS', 'Linux']",0
Oxenfree,3.91,"Adventure, RPG, Indie","Nintendo Switch, Xbox One, PlayStation 4, iOS, PC, Linux, Android, macOS",Teen,"['Adventure', 'RPG', 'Indie']","['Nintendo Switch', 'Xbox One', 'PlayStation 4', 'iOS', 'PC', 'Linux', 'Android', 'macOS']",0
Gwent: The Witcher Card Game,3.59,"RPG, Strategy, Board Games, Card","Xbox One, iOS, PC, PlayStation 4, Android",Teen,"['RPG', 'Strategy', 'Board Games', 'Card']","['Xbox One', 'iOS', 'PC', 'PlayStation 4', 'Android']",0
Lara Croft and the Guardian of Light,3.42,"Action, Adventure","PC, PlayStation 3, Xbox 360, Android, iOS",Teen,"['Action', 'Adventure']","['PC', 'PlayStation 3', 'Xbox 360', 'Android', 'iOS']",0
The Talos Principle,4.15,"Adventure, Indie, Puzzle","Xbox One, PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, Android",Everyone 10+,"['Adventure', 'Indie', 'Puzzle']","['Xbox One', 'PlayStation 4', 'iOS', 'PC', 'macOS', 'Linux', 'Nintendo Switch', 'Android']",2
Gris,4.2,"Adventure, Indie, Puzzle, Platformer","Android, macOS, PC, iOS, Xbox One, PlayStation 5, Xbox Series S/X, PlayStation 4, Nintendo Switch",Everyone,"['Adventure', 'Indie', 'Puzzle', 'Platformer']","['Android', 'macOS', 'PC', 'iOS', 'Xbox One', 'PlayStation 5', 'Xbox Series S/X', 'PlayStation 4', 'Nintendo Switch']",0
Valiant Hearts: The Great War,4.36,"Adventure, Puzzle","PlayStation 3, Xbox 360, Nintendo Switch, PC, iOS, Android, Xbox One, PlayStation 4",Teen,"['Adventure', 'Puzzle']","['PlayStation 3', 'Xbox 360', 'Nintendo Switch', 'PC', 'iOS', 'Android', 'Xbox One', 'PlayStation 4']",0
Injustice 2,3.92,Fighting,"Android, PlayStation 4, PC, Xbox One, iOS",Teen,['Fighting'],"['Android', 'PlayStation 4', 'PC', 'Xbox One', 'iOS']",0
World of Goo,4.02,"Strategy, Educational, Family, Indie, Puzzle","Android, iOS, PC, macOS, Linux, Nintendo Switch, Wii",Everyone,"['Strategy', 'Educational', 'Family', 'Indie', 'Puzzle']","['Android', 'iOS', 'PC', 'macOS', 'Linux', 'Nintendo Switch', 'Wii']",0
Life is Strange: Before The Storm,3.95,Adventure,"PlayStation 4, Xbox One, iOS, macOS, Linux, Android, PC",Mature,['Adventure'],"['PlayStation 4', 'Xbox One', 'iOS', 'macOS', 'Linux', 'Android', 'PC']",1
Final Fantasy VII (1997),4.38,"Action, Adventure, RPG","PC, iOS, Android, Nintendo Switch, PlayStation, PlayStation 4, Xbox One",Teen,"['Action', 'Adventure', 'RPG']","['PC', 'iOS', 'Android', 'Nintendo Switch', 'PlayStation', 'PlayStation 4', 'Xbox One']",0
Mount & Blade: Warband,4.36,"Action, RPG, Strategy","PlayStation 4, Linux, macOS, Android, PC, Xbox One",Teen,"['Action', 'RPG', 'Strategy']","['PlayStation 4', 'Linux', 'macOS', 'Android', 'PC', 'Xbox One']",0
VVVVVV,3.77,"Action, Adventure, Arcade, Casual, Indie, Puzzle, Platformer","PS Vita, PlayStation 4, Nintendo Switch, Nintendo 3DS, macOS, Linux, iOS, Android, PC",Everyone,"['Action', 'Adventure', 'Arcade', 'Casual', 'Indie', 'Puzzle', 'Platformer']","['PS Vita', 'PlayStation 4', 'Nintendo Switch', 'Nintendo 3DS', 'macOS', 'Linux', 'iOS', 'Android', 'PC']",0
Surgeon Simulator,3.43,"Action, Simulation, Educational, Indie","PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, Android",Teen,"['Action', 'Simulation', 'Educational', 'Indie']","['PlayStation 4', 'iOS', 'PC', 'macOS', 'Linux', 'Nintendo Switch', 'Android']",0
Genshin Impact,3.56,"Action, Adventure, RPG","PlayStation 5, Android, PlayStation 4, Nintendo Switch, PC, iOS",Teen,"['Action', 'Adventure', 'RPG']","['PlayStation 5', 'Android', 'PlayStation 4', 'Nintendo Switch', 'PC', 'iOS']",0
Titan Quest,3.9,"Action, RPG","PC, Xbox One, Nintendo Switch, PlayStation 4, Android, iOS",Teen,"['Action', 'RPG']","['PC', 'Xbox One', 'Nintendo Switch', 'PlayStation 4', 'Android', 'iOS']",0
Plants vs. Zombies GOTY Edition,4.33,Strategy,"Nintendo DS, Nintendo DSi, Xbox 360, PlayStation 3, PlayStation 4, PS Vita, Android, iOS, PC, macOS",Everyone 10+,['Strategy'],"['Nintendo DS', 'Nintendo DSi', 'Xbox 360', 'PlayStation 3', 'PlayStation 4', 'PS Vita', 'Android', 'iOS', 'PC', 'macOS']",2
Thomas Was Alone,3.74,"Adventure, Family, Indie","Android, PS Vita, PlayStation 4, PlayStation 3, Wii U, macOS, PC, iOS, Xbox One, Linux, Nintendo Switch",Everyone,"['Adventure', 'Family', 'Indie']","['Android', 'PS Vita', 'PlayStation 4', 'PlayStation 3', 'Wii U', 'macOS', 'PC', 'iOS', 'Xbox One', 'Linux', 'Nintendo Switch']",0
Moonlighter,3.74,"Action, Adventure, Indie","PlayStation 4, Nintendo Switch, Linux, macOS, PC, iOS, Xbox One, Android",Everyone 10+,"['Action', 'Adventure', 'Indie']","['PlayStation 4', 'Nintendo Switch', 'Linux', 'macOS', 'PC', 'iOS', 'Xbox One', 'Android']",2
Need For Speed: Hot Pursuit,3.86,"Racing, Arcade","Android, PlayStation 3, Xbox 360, PC, iOS, Nintendo Switch, Wii",Everyone 10+,"['Racing', 'Arcade']","['Android', 'PlayStation 3', 'Xbox 360', 'PC', 'iOS', 'Nintendo Switch', 'Wii']",2
This is the Police,3.89,"Adventure, Strategy, Simulation, Indie","Android, Linux, macOS, PC, iOS, Xbox One, PlayStation 4, Nintendo Switch",Mature,"['Adventure', 'Strategy', 'Simulation', 'Indie']","['Android', 'Linux', 'macOS', 'PC', 'iOS', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']",1
Oddworld: New 'n' Tasty,3.51,"Action, Adventure, Indie, Platformer","Xbox One, Wii U, PS Vita, PlayStation 3, PlayStation 4, Nintendo Switch, PC, macOS, Linux, Android, iOS",Teen,"['Action', 'Adventure', 'Indie', 'Platformer']","['Xbox One', 'Wii U', 'PS Vita', 'PlayStation 3', 'PlayStation 4', 'Nintendo Switch', 'PC', 'macOS', 'Linux', 'Android', 'iOS']",0
Tom Clancy's Splinter Cell: Conviction,3.84,"Action, Adventure","PlayStation 3, Xbox One, Android, PC, macOS, Xbox 360",Mature,"['Action', 'Adventure']","['PlayStation 3', 'Xbox One', 'Android', 'PC', 'macOS', 'Xbox 360']",1
LEGO Star Wars - The Complete Saga,4.1,"Action, Adventure","Android, Xbox 360, Nintendo DS, PC, iOS, Wii, macOS, PlayStation 3, Xbox One",Everyone 10+,"['Action', 'Adventure']","['Android', 'Xbox 360', 'Nintendo DS', 'PC', 'iOS', 'Wii', 'macOS', 'PlayStation 3', 'Xbox One']",2
Bloodstained: Ritual of the Night,4.01,"Action, Adventure","Xbox One, Android, iOS, PC, Nintendo Switch, PlayStation 4",Teen,"['Action', 'Adventure']","['Xbox One', 'Android', 'iOS', 'PC', 'Nintendo Switch', 'PlayStation 4']",0
DOOM II,4.38,"Action, Shooter","Xbox One, iOS, PC, PlayStation 4, Game Boy Advance, Classic Macintosh, Android, macOS, Nintendo Switch, Xbox 360",Mature,"['Action', 'Shooter']","['Xbox One', 'iOS', 'PC', 'PlayStation 4', 'Game Boy Advance', 'Classic Macintosh', 'Android', 'macOS', 'Nintendo Switch', 'Xbox 360']",1
Into the Breach,4.32,"RPG, Strategy, Indie","Nintendo Switch, macOS, PC, Android",Everyone 10+,"['RPG', 'Strategy', 'Indie']","['Nintendo Switch', 'macOS', 'PC', 'Android']",2
Tomb Raider II,3.74,"Action, Shooter, Adventure, Platformer","Classic Macintosh, macOS, PC, iOS, PlayStation, Android",Teen,"['Action', 'Shooter', 'Adventure', 'Platformer']","['Classic Macintosh', 'macOS', 'PC', 'iOS', 'PlayStation', 'Android']",0
Deiland,2.27,"Adventure, RPG, Indie","macOS, PC, iOS, PlayStation 4, Android",Everyone 10+,"['Adventure', 'RPG', 'Indie']","['macOS', 'PC', 'iOS', 'PlayStation 4', 'Android']",2
Dungeon Defenders,3.33,"Action, RPG, Strategy, Indie","PC, iOS, Android, PlayStation 3, macOS, Linux, Xbox 360",Everyone 10+,"['Action', 'RPG', 'Strategy', 'Indie']","['PC', 'iOS', 'Android', 'PlayStation 3', 'macOS', 'Linux', 'Xbox 360']",2
Sonic & All-Stars Racing Transformed,3.9,"Sports, Racing, Family","Xbox One, iOS, PC, Nintendo 3DS, Wii U, Xbox 360, PlayStation 3, PS Vita, Android",Everyone 10+,"['Sports', 'Racing', 'Family']","['Xbox One', 'iOS', 'PC', 'Nintendo 3DS', 'Wii U', 'Xbox 360', 'PlayStation 3', 'PS Vita', 'Android']",2
Graveyard Keeper,3.72,"Adventure, RPG, Strategy, Simulation, Casual, Indie","Android, PlayStation 4, Linux, macOS, PC, iOS, Xbox One, Nintendo Switch",Teen,"['Adventure', 'RPG', 'Strategy', 'Simulation', 'Casual', 'Indie']","['Android', 'PlayStation 4', 'Linux', 'macOS', 'PC', 'iOS', 'Xbox One', 'Nintendo Switch']",0
Super Hexagon,3.75,"Action, Arcade, Casual, Indie","PC, Linux, iOS, macOS, Android",Everyone,"['Action', 'Arcade', 'Casual', 'Indie']","['PC', 'Linux', 'iOS', 'macOS', 'Android']",0
Baldur's Gate: Enhanced Edition,4.08,"RPG, Strategy","iOS, Xbox One, Nintendo Switch, PlayStation 4, Android, Linux, PC, macOS",Teen,"['RPG', 'Strategy']","['iOS', 'Xbox One', 'Nintendo Switch', 'PlayStation 4', 'Android', 'Linux', 'PC', 'macOS']",0
Deus Ex: The Fall,2.69,"Action, Adventure, RPG","iOS, Android, PC",Mature,"['Action', 'Adventure', 'RPG']","['iOS', 'Android', 'PC']",1
Kingdom: New Lands,3.88,"Strategy, Simulation, Arcade, Casual, Indie","Android, PlayStation 4, Nintendo Switch, Linux, macOS, PC, iOS, Xbox One",Everyone 10+,"['Strategy', 'Simulation', 'Arcade', 'Casual', 'Indie']","['Android', 'PlayStation 4', 'Nintendo Switch', 'Linux', 'macOS', 'PC', 'iOS', 'Xbox One']",2
LEGO Batman 2 DC Super Heroes,3.68,"Action, Family","PS Vita, Xbox 360, Wii, macOS, PC, iOS, Xbox One, Nintendo 3DS, PlayStation 3, Android, Nintendo DS, Wii U",Everyone 10+,"['Action', 'Family']","['PS Vita', 'Xbox 360', 'Wii', 'macOS', 'PC', 'iOS', 'Xbox One', 'Nintendo 3DS', 'PlayStation 3', 'Android', 'Nintendo DS', 'Wii U']",2
Stick Fight: The Game,3.83,"Action, Casual, Indie","macOS, Android, iOS, PC",Everyone,"['Action', 'Casual', 'Indie']","['macOS', 'Android', 'iOS', 'PC']",0
Keep Talking and Nobody Explodes,4.19,"Simulation, Indie, Puzzle","Xbox One, PC, macOS, Nintendo Switch, PlayStation 4, Android",Everyone 10+,"['Simulation', 'Indie', 'Puzzle']","['Xbox One', 'PC', 'macOS', 'Nintendo Switch', 'PlayStation 4', 'Android']",2
Superbrothers: Sword & Sworcery,3.49,"Adventure, RPG, Indie","Nintendo Switch, Android, iOS, PC, Linux, macOS",Teen,"['Adventure', 'RPG', 'Indie']","['Nintendo Switch', 'Android', 'iOS', 'PC', 'Linux', 'macOS']",0
LEGO Batman 3: Beyond Gotham,3.61,"Action, Adventure, Family","PlayStation 4, PlayStation 3, Wii U, Nintendo 3DS, macOS, PC, iOS, Xbox One, Android, PS Vita",Everyone 10+,"['Action', 'Adventure', 'Family']","['PlayStation 4', 'PlayStation 3', 'Wii U', 'Nintendo 3DS', 'macOS', 'PC', 'iOS', 'Xbox One', 'Android', 'PS Vita']",2
Tricky Towers,3.67,"Arcade, Casual, Indie, Puzzle","Xbox One, Android, iOS, PC, macOS, Linux, PlayStation 4, Nintendo Switch",Everyone 10+,"['Arcade', 'Casual', 'Indie', 'Puzzle']","['Xbox One', 'Android', 'iOS', 'PC', 'macOS', 'Linux', 'PlayStation 4', 'Nintendo Switch']",2
Punch Club,3.66,"RPG, Strategy, Simulation, Sports, Fighting, Indie","Xbox One, Linux, Android, iOS, PC, macOS, Nintendo Switch, Nintendo 3DS, PlayStation 4",Teen,"['RPG', 'Strategy', 'Simulation', 'Sports', 'Fighting', 'Indie']","['Xbox One', 'Linux', 'Android', 'iOS', 'PC', 'macOS', 'Nintendo Switch', 'Nintendo 3DS', 'PlayStation 4']",0
Need for Speed: Most Wanted - A Criterion Game,3.36,"Racing, Arcade","Android, PS Vita, Wii U, PC, iOS, Xbox 360, PlayStation 3",Teen,"['Racing', 'Arcade']","['Android', 'PS Vita', 'Wii U', 'PC', 'iOS', 'Xbox 360', 'PlayStation 3']",0
Crazy Taxi (1999),3.83,"Action, Racing, Arcade","PlayStation 3, PlayStation 2, Xbox 360, PC, iOS, Android, GameCube, Dreamcast",Everyone,"['Action', 'Racing', 'Arcade']","['PlayStation 3', 'PlayStation 2', 'Xbox 360', 'PC', 'iOS', 'Android', 'GameCube', 'Dreamcast']",0
LEGO Harry Potter: Years 1-4,3.81,"Action, Adventure, Family, Platformer","Wii, Nintendo DS, PSP, PlayStation 3, PS Vita, PC, Xbox 360, macOS, Android",Everyone 10+,"['Action', 'Adventure', 'Family', 'Platformer']","['Wii', 'Nintendo DS', 'PSP', 'PlayStation 3', 'PS Vita', 'PC', 'Xbox 360', 'macOS', 'Android']",2
Loop Hero,4.05,"RPG, Strategy, Simulation, Indie","Linux, macOS, PC, Android, Nintendo Switch, Xbox Series S/X",Teen,"['RPG', 'Strategy', 'Simulation', 'Indie']","['Linux', 'macOS', 'PC', 'Android', 'Nintendo Switch', 'Xbox Series S/X']",0
Portal Knights,2.99,"Action, Adventure, RPG","PlayStation 4, Xbox One, iOS, PC, Nintendo Switch, Android",Everyone 10+,"['Action', 'Adventure', 'RPG']","['PlayStation 4', 'Xbox One', 'iOS', 'PC', 'Nintendo Switch', 'Android']",2
Wreckfest,3.68,"Racing, Arcade","PC, PlayStation 4, iOS, Xbox One, Android, Xbox Series S/X, PlayStation 5, Nintendo Switch",Teen,"['Racing', 'Arcade']","['PC', 'PlayStation 4', 'iOS', 'Xbox One', 'Android', 'Xbox Series S/X', 'PlayStation 5', 'Nintendo Switch']",0
Teenage Mutant Ninja Turtles: Shredder's Revenge,4.08,"Action, Adventure, Arcade, Casual, Fighting, Indie","PlayStation 5, Android, Linux, PC, PlayStation 4, Nintendo Switch, iOS, Xbox One, Xbox Series S/X",Everyone 10+,"['Action', 'Adventure', 'Arcade', 'Casual', 'Fighting', 'Indie']","['PlayStation 5', 'Android', 'Linux', 'PC', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Xbox One', 'Xbox Series S/X']",2
DuckTales: Remastered,3.77,"Adventure, Platformer","PlayStation 3, Xbox 360, Wii U, iOS, Android, Xbox One, PC",Everyone,"['Adventure', 'Platformer']","['PlayStation 3', 'Xbox 360', 'Wii U', 'iOS', 'Android', 'Xbox One', 'PC']",0
