Name,Rating,Genres,Platforms,ESRB,Genres_list,Platforms_list,Cluster
We Were Here,3.78,"Action, Adventure, Puzzle","PlayStation 4, Linux, macOS, PC, Xbox One",Teen,"['Action', 'Adventure', 'Puzzle']","['PlayStation 4', 'Linux', 'macOS', 'PC', 'Xbox One']",0
Kane & Lynch 2: Dog Days,3.25,"Action, Shooter","PC, Xbox 360, PlayStation 3",Adults Only,"['Action', 'Shooter']","['PC', 'Xbox 360', 'PlayStation 3']",1
Vampire: The Masquerade - Bloodlines,4.37,"Action, RPG",PC,Adults Only,"['Action', 'RPG']",['PC'],1
Lost Ark,3.2,"RPG, Massively Multiplayer",PC,Mature,"['RPG', 'Massively Multiplayer']",['PC'],1
Overwatch,4.14,"Action, Shooter, Casual, Massively Multiplayer","Nintendo Switch, PC, Xbox One, PlayStation 4",Teen,"['Action', 'Shooter', 'Casual', 'Massively Multiplayer']","['Nintendo Switch', 'PC', 'Xbox One', 'PlayStation 4']",0
Serious Sam HD: The Second Encounter,3.89,"Action, Shooter, Indie","Xbox 360, PC",Mature,"['Action', 'Shooter', 'Indie']","['Xbox 360', 'PC']",1
Risen 2: Dark Waters,3.43,"Action, RPG","PC, PlayStation 3, Xbox 360",Mature,"['Action', 'RPG']","['PC', 'PlayStation 3', 'Xbox 360']",1
Orcs Must Die!,3.7,"Action, Strategy, Indie","Xbox 360, PC",Teen,"['Action', 'Strategy', 'Indie']","['Xbox 360', 'PC']",0
Call of Duty: Advanced Warfare,3.47,"Action, Shooter","PlayStation 4, Xbox One, PC, PlayStation 3, Xbox 360",Mature,"['Action', 'Shooter']","['PlayStation 4', 'Xbox One', 'PC', 'PlayStation 3', 'Xbox 360']",1
Vanquish,4.01,"Action, Shooter, Adventure, Indie","PC, PlayStation 3, Xbox One, Xbox 360",Mature,"['Action', 'Shooter', 'Adventure', 'Indie']","['PC', 'PlayStation 3', 'Xbox One', 'Xbox 360']",1
Red Faction Guerrilla Re-Mars-tered,3.47,"Action, Shooter, Arcade","PC, Nintendo Switch, PlayStation 4, Xbox One",Mature,"['Action', 'Shooter', 'Arcade']","['PC', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']",1
The Dark Pictures Anthology: Man of Medan,3.63,"Action, Adventure","PC, Nintendo Switch, PlayStation 4, Xbox One",Mature,"['Action', 'Adventure']","['PC', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']",1
Prince of Persia: The Sands of Time,4.22,"Action, Adventure","PlayStation 2, PlayStation 3, Xbox, GameCube, PC",Mature,"['Action', 'Adventure']","['PlayStation 2', 'PlayStation 3', 'Xbox', 'GameCube', 'PC']",1
Hogwarts Legacy,3.95,"Action, RPG","PC, PlayStation 5, Xbox Series S/X, PlayStation 4, Nintendo Switch, Xbox One",Teen,"['Action', 'RPG']","['PC', 'PlayStation 5', 'Xbox Series S/X', 'PlayStation 4', 'Nintendo Switch', 'Xbox One']",0
Star Wars: Republic Commando,4.17,"Action, Shooter","Xbox 360, Xbox One, Xbox, Nintendo Switch, PlayStation 4, PlayStation 5, PC",Teen,"['Action', 'Shooter']","['Xbox 360', 'Xbox One', 'Xbox', 'Nintendo Switch', 'PlayStation 4', 'PlayStation 5', 'PC']",0
HELLDIVERS,3.61,Action,"PC, PlayStation 4, PlayStation 3",Mature,['Action'],"['PC', 'PlayStation 4', 'PlayStation 3']",1
Lord of the Rings: War in the North,3.34,"Action, RPG","PC, PlayStation 3, Xbox 360",Mature,"['Action', 'RPG']","['PC', 'PlayStation 3', 'Xbox 360']",1
Headsnatchers,1.82,"Action, Sports, Casual, Indie","Nintendo Switch, PlayStation 4, PC",Everyone 10+,"['Action', 'Sports', 'Casual', 'Indie']","['Nintendo Switch', 'PlayStation 4', 'PC']",2
Slime Rancher,3.87,"Action, Adventure, Simulation, Indie","PlayStation 4, Linux, macOS, PC, Nintendo Switch, Xbox One",Everyone 10+,"['Action', 'Adventure', 'Simulation', 'Indie']","['PlayStation 4', 'Linux', 'macOS', 'PC', 'Nintendo Switch', 'Xbox One']",2
Realm Royale,2.62,Action,"Nintendo Switch, PlayStation 4, Xbox One, PC",Teen,['Action'],"['Nintendo Switch', 'PlayStation 4', 'Xbox One', 'PC']",0
ArmA II: Operation Arrowhead,3.27,"Action, Strategy, Simulation",PC,Adults Only,"['Action', 'Strategy', 'Simulation']",['PC'],0
Alice: Madness Returns,4.01,"Action, Adventure","PC, PlayStation 3, Xbox 360, Xbox One",Mature,"['Action', 'Adventure']","['PC', 'PlayStation 3', 'Xbox 360', 'Xbox One']",1
The Elder Scrolls II: Daggerfall,3.3,"Action, RPG",PC,Mature,"['Action', 'RPG']",['PC'],1
