Name,Rating,Genres,Platforms,ESRB,Rating_scaled,ESRB_cat,Genre_Action,Genre_Adventure,Genre_Arcade,Genre_Board Games,Genre_Card,Genre_Casual,Genre_Educational,Genre_Family,Genre_Fighting,Genre_Indie,Genre_Massively Multiplayer,Genre_Platformer,Genre_Puzzle,Genre_Racing,Genre_Rpg,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Platform_3Do,Platform_Android,Platform_Apple Ii,Platform_Atari 2600,Platform_Atari 5200,Platform_Atari 8-Bit,Platform_Atari St,Platform_Classic Macintosh,Platform_Commodore / Amiga,Platform_Dreamcast,Platform_Game Boy,Platform_Game Boy Advance,Platform_Game Boy Color,Platform_Game Gear,Platform_Gamecube,Platform_Genesis,Platform_Ios,Platform_Jaguar,Platform_Linux,Platform_Macos,Platform_Neo Geo,Platform_Nes,Platform_Nintendo 3Ds,Platform_Nintendo 64,Platform_Nintendo Ds,Platform_Nintendo Dsi,Platform_Nintendo Switch,Platform_Pc,Platform_Playstation,Platform_Playstation 2,Platform_Playstation 3,Platform_Playstation 4,Platform_Playstation 5,Platform_Ps Vita,Platform_Psp,Platform_Sega 32X,Platform_Sega Cd,Platform_Sega Master System,Platform_Sega Saturn,Platform_Snes,Platform_Web,Platform_Wii,Platform_Wii U,Platform_Xbox,Platform_Xbox 360,Platform_Xbox One,Platform_Xbox Series S/X,Cluster,db_id
Baldur'S Gate: Enhanced Edition,4.08,"Rpg, Strategy","Ios, Xbox One, Nintendo Switch, Playstation 4, Android, Linux, Pc, Macos",Teen,0.7018186298595754,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1626
Deus Ex: The Fall,2.69,"Action, Adventure, Rpg","Ios, Android, Pc",Mature,-1.389121023992765,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627
Kingdom: New Lands,3.88,"Strategy, Simulation, Arcade, Casual, Indie","Android, Playstation 4, Nintendo Switch, Linux, Macos, Pc, Ios, Xbox One",Everyone 10+,0.400964003406001,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1628
Lego Batman 2 Dc Super Heroes,3.68,"Action, Family","Ps Vita, Xbox 360, Wii, Macos, Pc, Ios, Xbox One, Nintendo 3Ds, Playstation 3, Android, Nintendo Ds, Wii U",Everyone 10+,0.1001093769524272,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1629
Stick Fight: The Game,3.83,"Action, Casual, Indie","Macos, Android, Ios, Pc",Everyone,0.3257503467926077,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630
Keep Talking And Nobody Explodes,4.19,"Simulation, Indie, Puzzle","Xbox One, Pc, Macos, Nintendo Switch, Playstation 4, Android",Everyone 10+,0.8672886744090417,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1631
Superbrothers: Sword & Sworcery,3.49,"Adventure, Rpg, Indie","Nintendo Switch, Android, Ios, Pc, Linux, Macos",Teen,-0.185702518178468,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1632
Lego Batman 3: Beyond Gotham,3.61,"Action, Adventure, Family","Playstation 4, Playstation 3, Wii U, Nintendo 3Ds, Macos, Pc, Ios, Xbox One, Android, Ps Vita",Everyone 10+,-0.005189742306324,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1633
Tricky Towers,3.67,"Arcade, Casual, Indie, Puzzle","Xbox One, Android, Ios, Pc, Macos, Linux, Playstation 4, Nintendo Switch",Everyone 10+,0.0850666456297482,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1634
Punch Club,3.66,"Rpg, Strategy, Simulation, Sports, Fighting, Indie","Xbox One, Linux, Android, Ios, Pc, Macos, Nintendo Switch, Nintendo 3Ds, Playstation 4",Teen,0.0700239143070698,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1635
